DMC Code,Color Name,HEX,R,G,B,RGB
3733,Dusty Rose,#EA7E86,234,126,134,"234, 126, 134"
3740,Antique Violet - DK,#71535D,113,83,93,"113, 83, 93"
3743,Antique Violet - VY LT,#CFC2C9,207,194,201,"207, 194, 201"
3746,Blue Violet - DK,#844AB5,132,74,181,"132, 74, 181"
3747,Blue Violet - VY LT,#D0C5EC,208,197,236,"208, 197, 236"
3750,Antique Blue - VY DK,#1D4552,29,69,82,"29, 69, 82"
3752,Antique Blue - VY LT,#BAC9CC,186,201,204,"186, 201, 204"
3753,Antique Blue - ULT VY LT,#D9E6EC,217,230,236,"217, 230, 236"
3755,Baby Blue (?),#81A5D8,129,165,216,"129, 165, 216"
3756,Baby Blue,#E9F4FA,233,244,250,"233, 244, 250"
3760,Wedgewood - MED,#467293,70,114,147,"70, 114, 147"
3761,Sky Blue - LT,#B1D0DF,177,208,223,"177, 208, 223"
3765,Peacock Blue - VY DK,#175E78,23,94,120,"23, 94, 120"
3766,Peacock Blue - LT,#4B8AA1,75,138,161,"75, 138, 161"
3768,Gray Green - DK,#4C605F,76,96,95,"76, 96, 95"
3770,Tawny - VY LT,#FEF1D8,254,241,216,"254, 241, 216"
3771,Peach - DK,#E8AC9B,232,172,155,"232, 172, 155"
3772,Desert Sand - VY DK,#995744,153,87,68,"153, 87, 68"
3773,Desert Sand - MED,#CF866D,207,134,109,"207, 134, 109"
3774,Desert Sand - VY LT,#F3CFB4,243,207,180,"243, 207, 180"
3776,Mahogany - LT,#C96444,201,100,68,"201, 100, 68"
3777,Terra Cotta - VY DK,#922F25,146,47,37,"146, 47, 37"
3778,Terra Cotta - LT,#D2705C,210,112,92,"210, 112, 92"
3779,Terra Cotta - ULT VY LT,#F2AB95,242,171,149,"242, 171, 149"
3781,Mocha Brown - DK,#593F2B,89,63,43,"89, 63, 43"
3782,Mocha Brown - LT,#B69D80,182,157,128,"182, 157, 128"
3787,Brown Gray - DK,#62524C,98,82,76,"98, 82, 76"
3790,Beige Gray - ULT DK,#6D5A4B,109,90,75,"109, 90, 75"
3799,Pewter Gray - VY DK,#39393D,57,57,61,"57, 57, 61"
3801,Melon - VY DK,#E4353D,228,53,61,"228, 53, 61"
3802,Antique Mauve - VY DK,#672A33,103,42,51,"103, 42, 51"
3803,Mauve - DK,#872A43,135,42,67,"135, 42, 67"
3804,Cyclamen Pink - DK,#CE2B63,206,43,99,"206, 43, 99"
3805,Cyclamen Pink,#DF3C73,223,60,115,"223, 60, 115"
3806,Cyclamen Pink - LT,#F15A91,241,90,145,"241, 90, 145"
3807,Cornflower Blue,#4B599E,75,89,158,"75, 89, 158"
3808,Turquoise - ULT VY DK,#03535C,3,83,92,"3, 83, 92"
3809,Turquoise - VY DK,#136A75,19,106,117,"19, 106, 117"
3810,Turquoise - DK,#2D8D98,45,141,152,"45, 141, 152"
3811,Turquoise - VY LT,#A8E2E5,168,226,229,"168, 226, 229"
3812,Seagreen - VY DK,#07A184,7,161,132,"7, 161, 132"
3813,Blue Green - LT,#86C3AB,134,195,171,"134, 195, 171"
3814,Aquamarine,#0B8673,11,134,115,"11, 134, 115"
3815,Celadon Green - DK,#437259,67,114,89,"67, 114, 89"
3816,Celadon Green,#60937A,96,147,122,"96, 147, 122"
3817,Celadon Green - LT,#81C6A4,129,198,164,"129, 198, 164"
3818,Emerald Green - ULT VY DK,#005D2E,0,93,46,"0, 93, 46"
3819,Moss Green - LT,#CCC959,204,201,89,"204, 201, 89"
3820,Straw - DK,#DBA53E,219,165,62,"219, 165, 62"
3821,Straw,#EBBB52,235,187,82,"235, 187, 82"
3822,Straw - LT,#F7D169,247,209,105,"247, 209, 105"
3823,Yellow - ULT PALE,#FEF5CD,254,245,205,"254, 245, 205"
3824,Apricot - LT,#FCAE99,252,174,153,"252, 174, 153"
3825,Pumpkin - PALE,#FEA370,254,163,112,"254, 163, 112"
3826,Golden Brown,#B16633,177,102,51,"177, 102, 51"
3827,Golden Brown - PALE,#EAA664,234,166,100,"234, 166, 100"
3828,Hazelnut Brown,#AA7C43,170,124,67,"170, 124, 67"
3829,Old Gold - VY DK,#A7671D,167,103,29,"167, 103, 29"
3830,Terra Cotta,#A94138,169,65,56,"169, 65, 56"
3831,Raspberry - DK,#C12B52,193,43,82,"193, 43, 82"
3832,Raspberry - MED,#E36370,227,99,112,"227, 99, 112"
3833,Raspberry - LT,#EA8B96,234,139,150,"234, 139, 150"
3834,Grape - DK,#6A2258,106,34,88,"106, 34, 88"
3835,Grape - MED,#924D78,146,77,120,"146, 77, 120"
3836,Grape - LT,#C597B9,197,151,185,"197, 151, 185"
3837,Lavender - ULT DK,#8A2A8F,138,42,143,"138, 42, 143"
3838,Lavender Blue - DK,#606BAD,96,107,173,"96, 107, 173"
3839,Lavender Blue - MED,#7A7EC5,122,126,197,"122, 126, 197"
3840,Lavender Blue - LT,#B2BDEA,178,189,234,"178, 189, 234"
3841,Baby Blue - PALE,#D9EAF2,217,234,242,"217, 234, 242"
3842,Wedgewood - DK,#06506A,6,80,106,"6, 80, 106"
3843,Electric Blue,#28A3DE,40,163,222,"40, 163, 222"
3844,Bright Turquoise - DK,#1F7FA0,31,127,160,"31, 127, 160"
3845,Bright Turquoise - MED,#2BADD1,43,173,209,"43, 173, 209"
3846,Bright Turquoise - LT,#5ECCEC,94,204,236,"94, 204, 236"
3847,Teal Green - DK,#186358,24,99,88,"24, 99, 88"
3848,Teal Green - MED,#207E72,32,126,114,"32, 126, 114"
3849,Teal Green - LT,#35B193,53,177,147,"53, 177, 147"
3850,Bright Green - DK,#208B46,32,139,70,"32, 139, 70"
3851,Bright Green - LT,#61BB84,97,187,132,"97, 187, 132"
3852,Straw - VY DK,#E3A730,227,167,48,"227, 167, 48"
3853,Autumn Gold - DK,#EF8125,239,129,37,"239, 129, 37"
3854,Autumn Gold - MED,#FBAC56,251,172,86,"251, 172, 86"
3855,Autumn Gold - LT,#FDDFA0,253,223,160,"253, 223, 160"
3856,Mahogany - ULT VY LT,#FDBE8E,253,190,142,"253, 190, 142"
3857,Rosewood - DK,#6A2F26,106,47,38,"106, 47, 38"
3858,Rosewood - MED,#803A32,128,58,50,"128, 58, 50"
3859,Rosewood - LT,#BA7A6C,186,122,108,"186, 122, 108"
3860,Cocoa,#896362,137,99,98,"137, 99, 98"
3861,Cocoa - LT,#AC8583,172,133,131,"172, 133, 131"
3862,Mocha Beige - DK,#6E492A,110,73,42,"110, 73, 42"
3863,Mocha Beige - MED,#94725D,148,114,93,"148, 114, 93"
3864,Mocha Beige - LT,#C9AA92,201,170,146,"201, 170, 146"
3865,Winter White,#FFFDF9,255,253,249,"255, 253, 249"
